row_index,row_key,domain,classification,match_level,evidence_count,matched_ledger_ids,txn_id,sequence,tx_date,create_date,use_date,amount,abs_amount,account_name,name,memo,txn_type,description,payroll_hits,asset_hits,row_tokens
114,1006,ASSET,NEEDS_REVIEW_AMBIGUOUS,L2_MULTI,2,15505;15808,1006,0,2012-01-01,2012-01-01,2012-01-01,-1357.85,1357.85,2000 Accounts Payable,Niteline Limousine Service Ltd.,Original Date 06/12/11,Bill,,,limousine,2000;bill;date;limousine;ltd;niteline;original;service
117,1007,ASSET,NEEDS_REVIEW_AMBIGUOUS,L2_MULTI,2,15506;15801,1007,0,2012-01-01,2012-01-01,2012-01-01,-259.09,259.09,2000 Accounts Payable,Niteline Limousine Service Ltd.,Original Date 10/20/11,Bill,,,limousine,2000;bill;date;limousine;ltd;niteline;original;service
1248,1967,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,16564;25704;44036,1967,1,,,,418.39,418.39,6900 Vehicle R&M,,,,,,vehicle,6900;vehicle
3583,2598,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,15814;18953;43200,2598,0,2012-06-06,2012-06-06,2012-06-06,-101.14,101.14,1000 CIBC Bank 1615,LFG Business PAD,,Cheque Expense,,,bus,1000;1615;business;cheque;cibc;expense;lfg;pad
3584,2598,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,15814;18953;43200,2598,1,,,,101.14,101.14,6110 Credit Card Charges,,,,,,bus,6110;charges;credit
3585,2598,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,15814;18953;43200,2598,2,,,,0.0,0.0,2200 GST/HST Payable,,,,,,bus,2200;gst;hst
3604,2602,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,16560;25654;35300,2602,0,2012-06-08,2012-06-08,2012-06-08,-202.27,202.27,1000 CIBC Bank 1615,LFG Business PAD,,Cheque Expense,,,bus,1000;1615;business;cheque;cibc;expense;lfg;pad
3605,2602,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,16560;25654;35300,2602,1,,,,202.27,202.27,6110 Credit Card Charges,,,,,,bus,6110;charges;credit
3606,2602,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,16560;25654;35300,2602,2,,,,0.0,0.0,2200 GST/HST Payable,,,,,,bus,2200;gst;hst
5305,2644,ASSET,NEEDS_REVIEW_AMBIGUOUS,L1_MULTI,3,15824;18990;43206,2644,0,2012-08-14,2012-08-14,2012-08-14,-101.14,101.14,1000 CIBC Bank 1615,LFG Business PAD,,Cheque Expense,,,bus,1000;1615;business;cheque;cibc;expense;lfg;pad
