file,line_number,classification,match_tier,reason,raw_date,date,account_raw,account_code,account_name,description,csv_key_raw,csv_debit,csv_credit,csv_net,alms_id,alms_date,alms_account_code,alms_account_name,alms_description,alms_debit,alms_credit,alms_net
Copy of General_ledger2.csv,3,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1000 CIBC Bank 1615,1000,CIBC Bank 1615,Journal Entry,,17409.32,,17409.32,,,,,,,,
Copy of General_ledger2.csv,4,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1000 CIBC Bank 1615,1000,CIBC Bank 1615,Journal Entry,,,25299.88,-25299.88,,,,,,,,
Copy of General_ledger2.csv,7,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1010 Scotia Bank Main,1010,Scotia Bank Main,Journal Entry,,,149875.97,-149875.97,,,,,,,,
Copy of General_ledger2.csv,8,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1010 Scotia Bank Main,1010,Scotia Bank Main,Journal Entry,,149616.88,,149616.88,,,,,,,,
Copy of General_ledger2.csv,11,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1020 Personal CIBC 8362,1020,Personal CIBC 8362,Journal Entry,,,70327.38,-70327.38,,,,,,,,
Copy of General_ledger2.csv,12,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1020 Personal CIBC 8362,1020,Personal CIBC 8362,Journal Entry,,647987.75,,647987.75,,,,,,,,
Copy of General_ledger2.csv,15,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1085 Payroll Clearing Account,1085,Payroll Clearing Account,Journal Entry,,,10428.77,-10428.77,,,,,,,,
Copy of General_ledger2.csv,18,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1090 Bank Shareholder,1090,Bank Shareholder,Journal Entry,,81703.33,,81703.33,,,,,,,,
Copy of General_ledger2.csv,19,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1090 Bank Shareholder,1090,Bank Shareholder,Journal Entry,,,149822.24,-149822.24,,,,,,,,
Copy of General_ledger2.csv,22,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1300 Prepaid Lease Charges,1300,Prepaid Lease Charges,Journal Entry,,81107.90,,81107.90,,,,,,,,
Copy of General_ledger2.csv,25,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1310 Deposits Paid,1310,Deposits Paid,Journal Entry,,4000.00,,4000.00,,,,,,,,
Copy of General_ledger2.csv,28,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1399 Suspense,1399,Suspense,Journal Entry,,234644.27,,234644.27,,,,,,,,
Copy of General_ledger2.csv,29,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,1399 Suspense,1399,Suspense,Journal Entry,,4250.11,,4250.11,,,,,,,,
Copy of General_ledger2.csv,33,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:1993 Intl Thomas 3000Bus 461679,Limousines,& Busses:1993 Intl Thomas 3000Bus 461679,Journal Entry,,5000.00,,5000.00,,,,,,,,
Copy of General_ledger2.csv,36,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-1 2007 Mercedes Benz Sedan,Limousines,& Busses:L-1 2007 Mercedes Benz Sedan,Journal Entry,,2580.27,,2580.27,,,,,,,,
Copy of General_ledger2.csv,39,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-15 2012 Ford E-350 Party Bus,Limousines,& Busses:L-15 2012 Ford E-350 Party Bus,Journal Entry,,847.50,,847.50,,,,,,,,
Copy of General_ledger2.csv,42,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-2 2006 Lincoln TownCar 614688,Limousines,& Busses:L-2 2006 Lincoln TownCar 614688,Journal Entry,,,2000.00,-2000.00,,,,,,,,
Copy of General_ledger2.csv,45,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-6 2001 Lincoln TownCar 659569,Limousines,& Busses:L-6 2001 Lincoln TownCar 659569,Journal Entry,,59496.00,,59496.00,,,,,,,,
Copy of General_ledger2.csv,48,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-7 2003 Ford Excursion B96175,Limousines,& Busses:L-7 2003 Ford Excursion B96175,Journal Entry,,130000.00,,130000.00,,,,,,,,
Copy of General_ledger2.csv,51,MISSING_IN_ALMS,FALLBACK,no candidate found by key/date/account/amount,26/08/2025,2025-08-26,Limousines & Busses:L-8 2008 Ford Expedition A13564,Limousines,& Busses:L-8 2008 Ford Expedition A13564,Journal Entry,,109000.00,,109000.00,,,,,,,,
