"Reviewed","Exported","Document type","Date added","Date issued","Vendor","Currency","Total","Tax","GST","HST","PST","QST","Other","Sales Tax","Tip","Type","Tax category","Classification","Sub-classification","Description","Pay method","Pay account","Card type","Card number","Comment"
"Yes","No","Receipt","8/14/2025 2:11 PM","11/8/2019","Run'n On Empty 50Ave","CAD","80.00","0.00","0.00","0.00","0.00","0.00","0.00","G","0.00","","","Fuel","","","Cash","","","","L-8,82.56 lt"
"Yes","No","Receipt","8/14/2025 2:11 PM","11/8/2019","Run'n On Empty 50Ave","CAD","38.01","0.00","0.00","0.00","0.00","0.00","0.00","G","0.00","","","Fuel","","","Cash","","","3265","L-3,39.222 lt"
"Yes","No","Receipt","8/14/2025 2:11 PM","11/6/2019","Run'n On Empty 50Ave","CAD","40.00","0.00","0.00","0.00","0.00","0.00","0.00","G","0.00","","","Fuel","","","Cash","","","","L1,40.857lt"
"Yes","No","Receipt","8/14/2025 2:11 PM","11/16/2019","Fas Gas Red Deer 3218 49th Avenue Red Deer AB","CAD","44.00","2.10","2.10","0.00","0.00","0.00","0.00","G","0.00","","","Fuel","","","","","","3265","unknown,46.862 lt "
"Yes","No","Receipt","8/14/2025 2:09 PM","11/23/2019","FLYING J","CAD","40.00","0.00","0.00","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Cash","","","","L19, prepay 40 dollars missing receipt"
"Yes","No","Receipt","8/28/2025 11:30 PM","5/23/2019","Fas Gas Red Deer","CAD","50.00","2.38","2.38","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","1222",""
"No","No","Receipt","8/28/2025 11:30 PM","5/7/2019","Fas Gas Red Deer","CAD","119.00","5.67","5.67","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-5,98.427"
"No","No","Receipt","8/28/2025 11:30 PM","5/14/2019","Fas Gas west park","CAD","41.00","1.95","1.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-20,33.91"
"No","No","Receipt","8/28/2025 11:30 PM","5/3/2019","Fas Gas Red Deer","CAD","96.00","4.57","4.57","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","Card","","","3265","L-5,72.23"
"Yes","No","Receipt","9/3/2025 8:16 PM","6/22/2019","Fas Gas west park","CAD","20.00","0.95","0.95","0.00","0.00","0.00","0.00","","0.00","","","Fuel","","","","","","",""
